age,gender,income,education,region,loyalty_status,purchase_frequency,purchase_amount,product_category,promotion_usage,satisfaction_score,Cluster
27,0,40682,0,0,2,2,18249,1,0,6,1
29,0,15317,3,3,0,0,4557,2,1,6,0
37,0,38849,0,3,1,0,11822,2,0,6,1
30,0,11568,2,2,0,2,4098,4,0,7,0
31,1,46952,1,1,0,1,19685,2,1,5,1
38,0,7347,0,2,1,1,2822,3,0,5,0
32,1,8265,0,2,1,2,3293,2,0,7,0
24,1,47773,2,1,0,0,21794,1,0,5,1
27,0,19154,1,0,0,1,5819,2,0,5,0
28,1,24666,2,1,0,0,8779,4,0,6,0
35,0,43896,2,2,0,0,16158,6,1,6,1
32,1,40044,0,1,1,0,13608,3,0,5,1
32,0,6735,1,0,1,1,2450,2,1,5,0
30,1,19034,0,0,0,1,5579,1,1,5,0
28,0,35748,0,1,1,0,12901,1,1,3,1
38,1,26282,1,3,1,0,9644,2,0,7,0
32,0,49088,0,2,0,0,21329,2,0,5,1
21,1,20163,1,3,0,0,7612,4,0,3,0
33,1,10660,0,3,0,0,3129,2,0,6,0
28,0,40725,2,0,0,0,12764,3,1,6,1
25,1,46173,1,1,0,1,17638,0,0,5,1
29,0,37894,1,3,1,1,12838,2,0,5,1
25,1,8936,1,3,0,0,3264,4,0,5,0
27,1,36226,1,1,0,2,12633,3,1,4,1
27,0,40646,0,3,2,0,11869,4,0,5,1
22,1,7915,1,3,1,2,2188,3,0,6,0
34,0,39287,3,1,0,1,11944,4,0,6,1
31,1,42196,1,3,0,1,12137,2,1,6,1
25,1,38932,0,3,1,2,15844,3,0,5,1
36,0,42955,0,0,0,2,15289,3,0,4,1
32,1,6952,0,3,0,1,2080,4,1,6,0
29,0,26915,0,2,0,0,11833,2,1,4,1
34,0,9545,1,0,1,1,4155,0,0,5,0
34,1,13128,1,0,2,0,4475,2,0,6,0
34,0,13820,1,0,0,0,5888,3,0,6,0
33,0,43701,1,1,0,0,14083,3,0,5,1
32,0,41024,0,0,1,2,16783,3,1,6,1
30,0,42930,3,0,0,0,17967,5,1,5,1
29,1,25750,0,1,0,0,9505,6,1,4,0
28,1,46720,2,0,1,0,17595,3,1,6,1
27,0,41298,0,3,2,0,12690,3,0,5,1
29,1,5513,0,0,0,1,1693,3,1,5,0
24,0,13482,0,3,0,0,4842,2,1,5,0
40,0,14522,2,0,0,0,5347,4,0,3,0
35,1,24758,0,0,0,2,11293,1,0,6,0
25,0,45527,0,3,2,2,16596,2,0,6,1
28,0,6755,1,2,0,1,2394,3,0,6,0
28,0,45358,1,1,0,1,16856,2,0,6,1
33,1,12972,1,0,1,0,5197,4,0,5,0
30,0,31837,0,3,1,1,12967,3,0,6,1
31,1,29373,1,2,0,2,12114,3,0,5,1
30,0,28752,1,1,1,0,8649,2,1,4,1
30,0,8328,2,3,1,0,3079,5,0,5,0
36,1,22078,1,0,0,1,7587,4,0,6,0
29,1,15865,1,3,0,1,6884,2,0,4,0
37,1,6818,1,0,0,1,1987,3,0,7,0
23,0,44939,3,0,2,1,18416,3,1,5,1
33,0,47716,1,3,0,1,20515,3,0,2,1
31,1,10315,1,3,1,2,3895,4,0,3,0
31,1,13873,2,3,0,0,5046,3,0,6,0
32,0,8679,2,0,1,0,2908,3,0,4,0
28,1,23397,2,1,0,1,8066,1,0,3,0
29,1,34677,3,1,2,1,13341,1,1,6,1
25,1,19249,2,3,1,0,6020,6,0,5,0
25,1,7346,1,3,1,0,2301,4,1,5,0
31,1,9888,0,1,2,1,3708,3,0,4,0
32,1,33549,1,0,0,1,12038,2,1,6,1
30,0,22871,0,2,0,1,8146,2,1,6,0
34,0,43035,0,0,0,2,13002,1,0,5,1
39,1,17226,1,3,1,1,6617,1,1,4,0
28,0,40025,1,3,1,1,8973,4,1,4,1
20,1,49144,0,0,1,0,20296,5,0,3,1
34,1,17948,1,0,1,2,5486,3,0,6,0
27,0,30376,3,3,0,0,10110,3,0,5,1
