Gender,Age,Annual Income ($),Spending Score (1-100),Work Experience,Family Size,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Cluster,PCA1,PCA2
0,19,15000.0,39,1,4,False,False,False,False,True,False,False,False,1,-188149.78294523217,-17.62743637798795
0,21,35000.0,81,3,3,False,True,False,False,False,False,False,False,1,-148149.78123790317,65.53947743611788
1,20,86000.0,6,1,1,False,True,False,False,False,False,False,False,1,-46149.78431036064,-86.0247016546645
1,23,59000.0,77,0,2,False,False,False,False,False,False,True,False,1,-100149.7813045625,56.639572033882075
1,31,38000.0,40,2,6,False,False,True,False,False,False,False,False,1,-142149.78166886247,-17.115508199476427
1,22,58000.0,76,0,2,False,False,False,False,False,False,False,False,1,-102149.78144486598,54.73367581511032
1,35,31000.0,6,1,3,False,False,False,False,True,False,False,False,1,-156149.78250397614,-85.08099944758744
1,23,84000.0,94,1,3,False,False,False,False,True,False,False,False,1,-50149.780741442926,89.78326032486032
0,64,97000.0,3,0,3,False,True,False,False,False,False,False,False,1,-24149.779744642194,-95.00073882667576
1,30,98000.0,72,1,4,False,False,False,False,False,False,False,False,1,-22149.78083631451,44.918463871434426
0,67,7000.0,14,1,3,False,True,False,False,False,False,False,False,1,-204149.77870517925,-70.18773312502898
1,35,93000.0,99,4,4,False,False,False,False,True,False,False,False,1,-32149.779250339197,98.74910869683147
1,58,80000.0,15,0,5,False,False,False,True,False,False,False,False,1,-58149.77987332824,-70.08924164634072
1,24,91000.0,77,1,1,False,False,False,False,False,False,True,False,1,-36149.78129807743,55.5076472866279
0,37,19000.0,13,0,1,True,False,False,False,False,False,False,False,1,-180149.78202532395,-70.79791906150052
0,22,51000.0,79,1,2,False,False,False,False,True,False,False,False,1,-116149.78129624994,60.959016914100275
1,35,29000.0,35,9,5,False,False,False,False,False,True,False,False,1,-160149.7812981612,-27.082984904433516
0,20,89000.0,66,1,6,False,False,False,False,True,False,False,False,1,-40149.782078689735,33.814966602975716
0,52,20000.0,29,1,4,False,False,True,False,False,False,False,False,1,-178149.7797960122,-39.74461011053343
1,35,62000.0,98,0,1,False,False,False,False,False,False,False,False,1,-94149.77926944583,97.80971047026968
0,35,96000.0,35,12,1,False,False,False,False,False,True,False,False,1,-26149.78151141221,-29.331155833138723
0,25,4000.0,73,3,4,False,False,False,False,True,False,False,False,1,-210149.7809908033,50.343310159667226
1,46,42000.0,5,13,2,False,False,False,False,False,False,False,False,1,-134149.78122935205,-88.15963103264785
0,31,71000.0,73,5,2,False,False,False,False,False,False,False,False,1,-76149.78055980909,47.74197741352029
1,54,67000.0,14,1,3,False,False,False,True,False,False,False,False,1,-84149.78029713851,-71.41901741787315
0,29,52000.0,82,1,3,False,False,False,False,False,False,False,False,1,-114149.78043184947,66.50618952494169
1,45,68000.0,32,9,8,False,False,False,False,True,False,False,False,1,-82149.78044160343,-34.98059762406991
0,35,78000.0,61,1,3,False,False,False,False,False,False,False,False,1,-62149.78064575194,23.300109378809626
1,40,18000.0,31,0,1,False,False,False,False,False,False,False,False,1,-182149.78104194297,-34.95807551980742
1,23,20000.0,87,5,4,False,False,False,False,False,False,False,False,1,-178149.7807158975,77.90594005969159
0,60,39000.0,4,0,3,False,False,False,False,False,False,False,False,1,-140149.77994279185,-90.82638497538969
1,21,34000.0,73,1,2,True,False,False,False,False,False,False,False,1,-150149.78156653667,49.59214786390207
0,53,59000.0,4,1,3,False,False,False,False,True,False,False,False,1,-100149.78074375402,-91.0839561002916
0,18,62000.0,92,9,7,False,False,False,False,False,True,False,False,1,-94149.78112208859,86.77073192056847
1,49,91000.0,14,1,2,False,False,False,False,False,False,True,False,1,-36149.78092147887,-71.92244198996103
1,21,95000.0,81,3,4,False,False,False,False,True,False,False,False,1,-28149.7814299143,63.53484138109525
1,42,14000.0,17,5,1,True,False,False,False,False,False,False,False,1,-190149.7812524608,-62.95612863680287
1,30,62000.0,73,1,5,False,False,False,False,True,False,False,False,1,-94149.78067071803,48.11838792524131
1,36,9000.0,26,8,2,False,False,False,False,False,False,False,False,1,-200149.78149496668,-44.45701893386533
1,20,69000.0,75,8,2,False,False,False,False,False,False,False,False,1,-80149.78161271808,52.44569040958366
1,65,25000.0,35,4,1,False,False,False,False,False,False,False,False,1,-168149.77818305243,-28.70037313043395
0,24,85000.0,92,0,2,False,False,False,False,True,False,False,False,1,-48149.78073435712,85.6981058222993
0,48,22000.0,36,14,3,False,False,False,False,False,False,False,False,1,-174149.77978891117,-25.644786086819504
1,31,33000.0,61,1,2,False,False,False,False,False,False,False,False,1,-152149.78093266237,25.042448800637846
1,49,72000.0,28,8,1,False,True,False,False,False,False,False,False,1,-74149.78024895093,-43.334273157340405
1,24,3000.0,65,4,2,False,False,False,False,False,False,True,False,1,-212149.78139043256,34.44111837512318
1,50,52000.0,55,0,4,False,False,False,False,False,False,False,False,1,-114149.77917976893,11.287162697133699
1,27,71000.0,47,12,1,False,False,False,False,True,False,False,False,1,-76149.7818447034,-4.031075724991091
1,29,78000.0,42,0,4,False,False,False,False,True,False,False,False,1,-62149.78199048245,-14.322721705296091
1,31,25000.0,42,1,1,False,True,False,False,False,False,False,False,1,-168149.7816104706,-12.672632498680294
1,49,88000.0,52,1,2,False,False,False,False,False,False,False,False,1,-42149.77951929907,4.144389714513988
